song_name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Mood Label
Pointless,Lewis Capaldi,0.345,0.625,4,-4.025,1,0.0444,0.0758,0.0,0.112,0.336,169.494,audio_features,44G9fSM6qI8zRoG6Qwn3eq,spotify:track:44G9fSM6qI8zRoG6Qwn3eq,https://api.spotify.com/v1/tracks/44G9fSM6qI8zRoG6Qwn3eq,https://api.spotify.com/v1/audio-analysis/44G9fSM6qI8zRoG6Qwn3eq,231120,4,romance
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Aerosmith,0.383,0.662,2,-5.162,1,0.0333,0.165,0.0,0.248,0.138,121.154,audio_features,225xvV8r1yKMHErSWivnow,spotify:track:225xvV8r1yKMHErSWivnow,https://api.spotify.com/v1/tracks/225xvV8r1yKMHErSWivnow,https://api.spotify.com/v1/audio-analysis/225xvV8r1yKMHErSWivnow,298760,4,romance
I GUESS I'M IN LOVE,Clinton Kane,0.422,0.34,0,-6.577,1,0.0351,0.877,1.77e-05,0.149,0.223,77.213,audio_features,1is8gU4RVcN4J8xItxWoOY,spotify:track:1is8gU4RVcN4J8xItxWoOY,https://api.spotify.com/v1/tracks/1is8gU4RVcN4J8xItxWoOY,https://api.spotify.com/v1/audio-analysis/1is8gU4RVcN4J8xItxWoOY,204094,4,romance
pov,Ariana Grande,0.487,0.534,0,-5.664,0,0.0555,0.36,0.0,0.1,0.173,131.798,audio_features,3UoULw70kMsiVXxW0L3A33,spotify:track:3UoULw70kMsiVXxW0L3A33,https://api.spotify.com/v1/tracks/3UoULw70kMsiVXxW0L3A33,https://api.spotify.com/v1/audio-analysis/3UoULw70kMsiVXxW0L3A33,201882,4,romance
"Because You Loved Me (Theme from ""Up Close and Personal"")",Céline Dion,0.615,0.467,1,-9.883,1,0.0327,0.314,0.0,0.099,0.177,119.919,audio_features,28UMiBhn383n9S7GL4tsxD,spotify:track:28UMiBhn383n9S7GL4tsxD,https://api.spotify.com/v1/tracks/28UMiBhn383n9S7GL4tsxD,https://api.spotify.com/v1/audio-analysis/28UMiBhn383n9S7GL4tsxD,273667,4,romance
Dancing With A Stranger (with Normani),"Sam Smith, Normani",0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,audio_features,6Qs4SXO9dwPj5GKvVOv8Ki,spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki,https://api.spotify.com/v1/tracks/6Qs4SXO9dwPj5GKvVOv8Ki,https://api.spotify.com/v1/audio-analysis/6Qs4SXO9dwPj5GKvVOv8Ki,171030,4,romance
Say Something,"A Great Big World, Christina Aguilera",0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,audio_features,6Vc5wAMmXdKIAM7WUoEb7N,spotify:track:6Vc5wAMmXdKIAM7WUoEb7N,https://api.spotify.com/v1/tracks/6Vc5wAMmXdKIAM7WUoEb7N,https://api.spotify.com/v1/audio-analysis/6Vc5wAMmXdKIAM7WUoEb7N,229400,3,romance
Beyond,Leon Bridges,0.581,0.687,6,-5.4,1,0.105,0.229,0.0,0.109,0.187,76.014,audio_features,1Omt5bfz1tZUCqd26HxbS0,spotify:track:1Omt5bfz1tZUCqd26HxbS0,https://api.spotify.com/v1/tracks/1Omt5bfz1tZUCqd26HxbS0,https://api.spotify.com/v1/audio-analysis/1Omt5bfz1tZUCqd26HxbS0,240600,4,romance
Before You Go,Lewis Capaldi,0.459,0.575,3,-4.858,1,0.0573,0.604,0.0,0.0885,0.183,111.881,audio_features,7ce20yLkzuXXLUhzIDoZih,spotify:track:7ce20yLkzuXXLUhzIDoZih,https://api.spotify.com/v1/tracks/7ce20yLkzuXXLUhzIDoZih,https://api.spotify.com/v1/audio-analysis/7ce20yLkzuXXLUhzIDoZih,215107,4,romance
Bubbly,Colbie Caillat,0.688,0.477,9,-6.684,1,0.036,0.594,0.0,0.115,0.257,127.866,audio_features,1lkvpmrCaXK8QtliFDcHBO,spotify:track:1lkvpmrCaXK8QtliFDcHBO,https://api.spotify.com/v1/tracks/1lkvpmrCaXK8QtliFDcHBO,https://api.spotify.com/v1/audio-analysis/1lkvpmrCaXK8QtliFDcHBO,196227,4,romance
Because of You,Kelly Clarkson,0.587,0.583,5,-5.284,0,0.0313,0.248,0.0,0.124,0.15,139.92,audio_features,0gJvqi9QyASOCtJu99tytc,spotify:track:0gJvqi9QyASOCtJu99tytc,https://api.spotify.com/v1/tracks/0gJvqi9QyASOCtJu99tytc,https://api.spotify.com/v1/audio-analysis/0gJvqi9QyASOCtJu99tytc,219493,4,romance
Hold My Girl,George Ezra,0.614,0.527,10,-6.374,1,0.0302,0.597,0.0,0.11,0.354,121.941,audio_features,42bbDWZ8WmXTH7PkYAlGLu,spotify:track:42bbDWZ8WmXTH7PkYAlGLu,https://api.spotify.com/v1/tracks/42bbDWZ8WmXTH7PkYAlGLu,https://api.spotify.com/v1/audio-analysis/42bbDWZ8WmXTH7PkYAlGLu,211764,4,romance
The Bones,Maren Morris,0.612,0.57,11,-6.642,0,0.0347,0.278,0.0,0.0963,0.334,77.004,audio_features,7yFhA2fUsL2oIMWlw5DaHQ,spotify:track:7yFhA2fUsL2oIMWlw5DaHQ,https://api.spotify.com/v1/tracks/7yFhA2fUsL2oIMWlw5DaHQ,https://api.spotify.com/v1/audio-analysis/7yFhA2fUsL2oIMWlw5DaHQ,197293,4,romance
July (feat. Leon Bridges),"Noah Cyrus, Leon Bridges",0.708,0.211,9,-9.603,0,0.0424,0.853,0.0,0.131,0.362,72.5,audio_features,3V0nnQhqvbE3JmiDdnzQFQ,spotify:track:3V0nnQhqvbE3JmiDdnzQFQ,https://api.spotify.com/v1/tracks/3V0nnQhqvbE3JmiDdnzQFQ,https://api.spotify.com/v1/audio-analysis/3V0nnQhqvbE3JmiDdnzQFQ,152280,4,romance
